day,1 USD=
01-01-2020,71.165
02-01-2020,71.348
03-01-2020,71.7535
04-01-2020,71.761
05-01-2020,71.761
06-01-2020,71.871
07-01-2020,71.831
08-01-2020,71.3695
09-01-2020,71.153
10-01-2020,70.9375
11-01-2020,70.991
12-01-2020,70.989
13-01-2020,70.753
14-01-2020,70.8525
15-01-2020,70.725
16-01-2020,70.9706
17-01-2020,71.096
18-01-2020,71.0437
19-01-2020,71.0437
20-01-2020,71.0125
21-01-2020,71.1695
22-01-2020,71.1015
23-01-2020,71.4497
24-01-2020,71.303
25-01-2020,71.3255
26-01-2020,71.3255
27-01-2020,71.455
28-01-2020,71.218
29-01-2020,71.37
30-01-2020,71.5575
31-01-2020,71.5
01-02-2020,71.499
02-02-2020,71.499
03-02-2020,71.35
04-02-2020,71.11
05-02-2020,71.1887
06-02-2020,71.219
07-02-2020,71.492
08-02-2020,71.516
09-02-2020,71.516
10-02-2020,71.285
11-02-2020,71.269
12-02-2020,71.3106
13-02-2020,71.2748
14-02-2020,71.501
15-02-2020,71.5269
16-02-2020,71.5269
17-02-2020,71.3505
18-02-2020,71.5395
19-02-2020,71.587
20-02-2020,71.917
21-02-2020,71.8325
22-02-2020,71.8875
23-02-2020,71.8875
24-02-2020,72.098
25-02-2020,71.8226
26-02-2020,71.6
27-02-2020,71.645
28-02-2020,72.505
29-02-2020,72.175
01-03-2020,72.175
02-03-2020,72.73
03-03-2020,72.96
04-03-2020,73.5745
05-03-2020,73.635
06-03-2020,74.225
07-03-2020,74.0053
08-03-2020,74.0053
09-03-2020,74.385
10-03-2020,73.878
11-03-2020,74.085
12-03-2020,74.605
13-03-2020,74.01
14-03-2020,73.959
15-03-2020,73.959
16-03-2020,74.0625
17-03-2020,74.18
18-03-2020,75.09
19-03-2020,74.8
20-03-2020,75.475
21-03-2020,75.6226
22-03-2020,75.6226
23-03-2020,76.4125
24-03-2020,76.075
25-03-2020,75.975
26-03-2020,74.8575
27-03-2020,75.07
28-03-2020,74.876
29-03-2020,75.472
30-03-2020,75.355
31-03-2020,75.445
01-04-2020,76.59
02-04-2020,76.1725
03-04-2020,76.3875
04-04-2020,76.419
05-04-2020,75.9425
06-04-2020,75.5325
07-04-2020,75.885
08-04-2020,75.8875
09-04-2020,76.1475
10-04-2020,76.1765
11-04-2020,76.1765
12-04-2020,76.3425
13-04-2020,75.98
14-04-2020,76.5225
15-04-2020,76.805
16-04-2020,76.585
17-04-2020,76.501
18-04-2020,76.501
19-04-2020,76.61
20-04-2020,77.051
21-04-2020,76.4465
22-04-2020,75.9525
23-04-2020,76.42
24-04-2020,76.302
25-04-2020,76.2815
26-04-2020,76.198
27-04-2020,76.0648
28-04-2020,75.33
29-04-2020,75.2374
30-04-2020,75.865
01-05-2020,75.831
02-05-2020,75.601
03-05-2020,75.6675
04-05-2020,75.674
05-05-2020,76.04805
06-05-2020,75.70755
07-05-2020,75.50305
08-05-2020,75.504
09-05-2020,75.535
10-05-2020,75.9258
11-05-2020,75.1435
12-05-2020,75.3855
13-05-2020,75.541
14-05-2020,75.822
15-05-2020,75.7
16-05-2020,75.6687
17-05-2020,75.605
18-05-2020,75.64005
19-05-2020,75.98
20-05-2020,75.855
21-05-2020,75.552
22-05-2020,75.9145
23-05-2020,75.6484
24-05-2020,75.6197
25-05-2020,75.5232
26-05-2020,75.5232
27-05-2020,75.5655
28-05-2020,75.11405
29-05-2020,75.33
30-05-2020,75.45
31-05-2020,75.60005
01-06-2020,75.5645
02-06-2020,75.5645
03-06-2020,75.44
04-06-2020,75.495
05-06-2020,75.6925
06-06-2020,76.17405
07-06-2020,75.98705
08-06-2020,75.957
09-06-2020,75.957
10-06-2020,75.97825
11-06-2020,76.235
12-06-2020,76.195
13-06-2020,76.37705
14-06-2020,76.2825
15-06-2020,76.25225
16-06-2020,76.25225
17-06-2020,75.71105
