Date,Price,Day
"Jan 01, 2020",71.227,0
"Jan 02, 2020",71.35,1
"Jan 03, 2020",71.77,2
"Jan 06, 2020",71.867,3
"Jan 07, 2020",71.845,4
"Jan 08, 2020",71.51,5
"Jan 09, 2020",71.21,6
"Jan 10, 2020",70.96,7
"Jan 13, 2020",70.71,8
"Jan 14, 2020",70.85,9
"Jan 15, 2020",70.72,10
"Jan 16, 2020",70.978,11
"Jan 17, 2020",71.079,12
"Jan 20, 2020",71.04,13
"Jan 21, 2020",71.17,14
"Jan 22, 2020",71.08,15
"Jan 23, 2020",71.4,16
"Jan 24, 2020",71.33,17
"Jan 27, 2020",71.45,18
"Jan 28, 2020",71.2,19
"Jan 29, 2020",71.31,20
"Jan 30, 2020",71.55,21
"Jan 31, 2020",71.555,22
"Feb 03, 2020",71.324,23
"Feb 04, 2020",71.115,24
"Feb 05, 2020",71.19,25
"Feb 06, 2020",71.225,26
"Feb 07, 2020",71.515,27
"Feb 10, 2020",71.29,28
"Feb 11, 2020",71.285,29
"Feb 12, 2020",71.306,30
"Feb 13, 2020",71.33,31
"Feb 14, 2020",71.529,32
"Feb 17, 2020",71.34,33
"Feb 18, 2020",71.585,34
"Feb 19, 2020",71.6,35
"Feb 20, 2020",71.68,36
"Feb 21, 2020",71.88,37
"Feb 24, 2020",71.935,38
"Feb 25, 2020",71.82,39
"Feb 26, 2020",71.58,40
"Feb 27, 2020",71.655,41
"Feb 28, 2020",72.539,42
"Mar 02, 2020",72.882,43
"Mar 03, 2020",73.05,44
"Mar 04, 2020",73.54,45
"Mar 05, 2020",73.506,46
"Mar 06, 2020",74.004,47
"Mar 09, 2020",74.196,48
"Mar 10, 2020",74.15,49
"Mar 11, 2020",73.682,50
"Mar 12, 2020",74.576,51
"Mar 13, 2020",73.84,52
"Mar 16, 2020",74.003,53
"Mar 17, 2020",74.062,54
"Mar 18, 2020",74.55,55
"Mar 19, 2020",74.786,56
"Mar 20, 2020",75.399,57
"Mar 23, 2020",76.335,58
"Mar 24, 2020",76.379,59
"Mar 25, 2020",76.375,60
"Mar 26, 2020",74.889,61
"Mar 27, 2020",75.472,62
"Mar 30, 2020",75.41,63
"Mar 31, 2020",75.343,64
"Apr 01, 2020",76.404,65
"Apr 02, 2020",76.4,66
"Apr 03, 2020",76.24,67
"Apr 06, 2020",75.975,68
"Apr 07, 2020",75.645,69
"Apr 08, 2020",75.945,70
"Apr 09, 2020",76.3,71
"Apr 10, 2020",75.879,72
"Apr 13, 2020",76.249,73
"Apr 14, 2020",76.015,74
"Apr 15, 2020",76.564,75
"Apr 16, 2020",76.805,76
"Apr 17, 2020",76.55,77
"Apr 20, 2020",76.575,78
"Apr 21, 2020",76.975,79
"Apr 22, 2020",76.41,80
"Apr 23, 2020",75.895,81
"Apr 24, 2020",76.27,82
"Apr 27, 2020",76.229,83
"Apr 28, 2020",76.065,84
"Apr 29, 2020",75.455,85
"Apr 30, 2020",75.08,86
"May 01, 2020",75.749,87
"May 04, 2020",75.64,88
"May 05, 2020",75.71,89
"May 06, 2020",76.105,90
"May 07, 2020",75.794,91
"May 08, 2020",75.535,92
"May 11, 2020",75.888,93
"May 12, 2020",75.062,94
"May 13, 2020",75.365,95
"May 14, 2020",75.495,96
"May 15, 2020",75.83,97
"May 18, 2020",75.7,98
"May 19, 2020",75.645,99
"May 20, 2020",75.555,100
"May 21, 2020",75.62,101
"May 22, 2020",75.95,102
"May 25, 2020",75.887,103
"May 26, 2020",75.459,104
"May 27, 2020",75.92,105
"May 28, 2020",75.66,106
"May 29, 2020",75.605,107
"Jun 01, 2020",75.505,108
"Jun 02, 2020",75.1,109
"Jun 03, 2020",75.325,110
"Jun 04, 2020",75.459,111
"Jun 05, 2020",75.56,112
"Jun 08, 2020",75.4,113
"Jun 09, 2020",75.505,114
"Jun 10, 2020",75.635,115
"Jun 11, 2020",75.971,116
"Jun 12, 2020",76.05,117
"Jun 15, 2020",75.979,118
"Jun 16, 2020",76.25,119
"Jun 17, 2020",76.29,120
"Jun 18, 2020",76.4,121
"Jun 19, 2020",76.26,122
"Jun 22, 2020",75.79,123
"Jun 23, 2020",75.503,124
"Jun 24, 2020",75.665,125
"Jun 25, 2020",75.587,126
"Jun 26, 2020",75.62,127
"Jun 29, 2020",75.51,128
"Jun 30, 2020",75.545,129
"Jul 01, 2020",75.49,130
"Jul 02, 2020",74.75,131
"Jul 03, 2020",74.636,132
"Jul 06, 2020",74.635,133
"Jul 07, 2020",74.81,134
"Jul 08, 2020",74.94,135
"Jul 09, 2020",75.14,136
"Jul 10, 2020",75.19,137
"Jul 13, 2020",75.187,138
"Jul 14, 2020",75.378,139
"Jul 15, 2020",75.12,140
"Jul 16, 2020",75.17,141
"Jul 17, 2020",74.884,142
"Jul 20, 2020",74.74,143
"Jul 21, 2020",74.53,144
"Jul 22, 2020",74.6,145
"Jul 23, 2020",74.81,146
"Jul 24, 2020",74.75,147
"Jul 27, 2020",74.79,148
"Jul 28, 2020",74.907,149
"Jul 29, 2020",74.923,150
"Jul 30, 2020",74.875,151
"Jul 31, 2020",74.916,152
"Aug 03, 2020",75.18,153
"Aug 04, 2020",75.06,154
"Aug 05, 2020",74.796,155
"Aug 06, 2020",74.89,156
"Aug 07, 2020",75.012,157
"Aug 10, 2020",74.87,158
"Aug 11, 2020",74.61,159
"Aug 12, 2020",74.79,160
"Aug 13, 2020",74.811,161
"Aug 14, 2020",74.874,162
"Aug 17, 2020",74.743,163
"Aug 18, 2020",74.57,164
"Aug 19, 2020",74.846,165
"Aug 20, 2020",75.012,166
"Aug 21, 2020",74.92,167
"Aug 24, 2020",74.168,168
"Aug 25, 2020",74.202,169
"Aug 26, 2020",74.217,170
"Aug 27, 2020",73.894,171
"Aug 28, 2020",73.114,172
"Aug 31, 2020",73.254,173
"Sep 01, 2020",73.002,174
"Sep 02, 2020",73.268,175
"Sep 03, 2020",73.389,176
"Sep 04, 2020",73.289,177
"Sep 07, 2020",73.444,178
"Sep 08, 2020",73.74,179
"Sep 09, 2020",73.3,180
"Sep 10, 2020",73.43,181
"Sep 11, 2020",73.43,182
"Sep 14, 2020",73.37,183
"Sep 15, 2020",73.6,184
"Sep 16, 2020",73.53,185
"Sep 17, 2020",73.6,186
"Sep 18, 2020",73.538,187
"Sep 21, 2020",73.57,188
"Sep 22, 2020",73.51,189
"Sep 23, 2020",73.57,190
"Sep 24, 2020",73.9,191
"Sep 25, 2020",73.67,192
"Sep 28, 2020",73.75,193
"Sep 29, 2020",73.75,194
"Sep 30, 2020",73.56,195
"Oct 01, 2020",73.193,196
"Oct 02, 2020",73.29,197
"Oct 05, 2020",73.11,198
"Oct 06, 2020",73.434,199
"Oct 07, 2020",73.33,200
"Oct 08, 2020",73.29,201
"Oct 09, 2020",73.01,202
"Oct 12, 2020",73.363,203
"Oct 13, 2020",73.4,204
"Oct 14, 2020",73.24,205
"Oct 15, 2020",73.42,206
"Oct 16, 2020",73.442,207
"Oct 19, 2020",73.35,208
"Oct 20, 2020",73.44,209
"Oct 21, 2020",73.59,210
"Oct 22, 2020",73.66,211
"Oct 23, 2020",73.829,212
"Oct 26, 2020",73.96,213
"Oct 27, 2020",73.622,214
"Oct 28, 2020",74.18,215
"Oct 29, 2020",74.37,216
"Oct 30, 2020",74.554,217
"Nov 02, 2020",74.5,218
"Nov 03, 2020",74.61,219
"Nov 04, 2020",74.365,220
"Nov 05, 2020",73.91,221
"Nov 06, 2020",73.974,222
"Nov 09, 2020",74.03,223
"Nov 10, 2020",74.28,224
"Nov 11, 2020",74.439,225
"Nov 12, 2020",74.68,226
"Nov 13, 2020",74.561,227
"Nov 16, 2020",74.37,228
"Nov 17, 2020",74.47,229
"Nov 18, 2020",74.11,230
"Nov 19, 2020",74.1,231
"Nov 20, 2020",74.11,232
"Nov 23, 2020",74.25,233
"Nov 24, 2020",74.078,234
"Nov 25, 2020",73.769,235
"Nov 26, 2020",73.832,236
"Nov 27, 2020",73.933,237
"Nov 30, 2020",73.99,238
"Dec 01, 2020",73.482,239
"Dec 02, 2020",73.76,240
"Dec 03, 2020",73.86,241
"Dec 04, 2020",73.757,242
"Dec 07, 2020",73.76,243
"Dec 08, 2020",73.72,244
"Dec 09, 2020",73.72,245
"Dec 10, 2020",73.74,246
"Dec 11, 2020",73.736,247
"Dec 14, 2020",73.63,248
"Dec 15, 2020",73.556,249
"Dec 16, 2020",73.63,250
"Dec 17, 2020",73.52,251
"Dec 18, 2020",73.57,252
"Dec 21, 2020",74.026,253
"Dec 22, 2020",73.851,254
"Dec 23, 2020",73.77,255
"Dec 24, 2020",73.54,256
"Dec 25, 2020",73.558,257
"Dec 28, 2020",73.546,258
"Dec 29, 2020",73.39,259
"Dec 30, 2020",73.127,260
"Dec 31, 2020",73.036,261
"Jan 01, 2021",73.12,262
"Jan 04, 2021",73.07,263
"Jan 05, 2021",73.12,264
"Jan 06, 2021",73.118,265
"Jan 07, 2021",73.42,266
"Jan 08, 2021",73.33,267
"Jan 11, 2021",73.455,268
"Jan 12, 2021",73.22,269
"Jan 13, 2021",73.16,270
"Jan 14, 2021",73.07,271
"Jan 15, 2021",73.12,272
"Jan 18, 2021",73.181,273
"Jan 19, 2021",73.19,274
"Jan 20, 2021",72.91,275
"Jan 21, 2021",72.96,276
"Jan 22, 2021",72.98,277
"Jan 25, 2021",72.96,278
"Jan 26, 2021",72.91,279
"Jan 27, 2021",73.06,280
"Jan 28, 2021",72.931,281
"Jan 29, 2021",72.877,282
"Feb 01, 2021",73.11,283
"Feb 02, 2021",72.899,284
"Feb 03, 2021",72.81,285
"Feb 04, 2021",72.95,286
"Feb 05, 2021",72.81,287
"Feb 08, 2021",72.93,288
"Feb 09, 2021",72.854,289
"Feb 10, 2021",72.79,290
"Feb 11, 2021",72.7,291
"Feb 12, 2021",72.58,292
"Feb 15, 2021",72.618,293
"Feb 16, 2021",72.86,294
"Feb 17, 2021",72.815,295
"Feb 18, 2021",72.58,296
"Feb 19, 2021",72.55,297
"Feb 22, 2021",72.44,298
"Feb 23, 2021",72.38,299
"Feb 24, 2021",72.38,300
"Feb 25, 2021",72.736,301
"Feb 26, 2021",73.92,302
"Mar 01, 2021",73.396,303
"Mar 02, 2021",73.25,304
"Mar 03, 2021",72.93,305
"Mar 04, 2021",72.733,306
"Mar 05, 2021",73.18,307
"Mar 08, 2021",73.35,308
"Mar 09, 2021",72.766,309
"Mar 10, 2021",72.72,310
"Mar 11, 2021",72.69,311
"Mar 12, 2021",72.68,312
"Mar 15, 2021",72.53,313
"Mar 16, 2021",72.51,314
"Mar 17, 2021",72.557,315
"Mar 18, 2021",72.69,316
"Mar 19, 2021",72.401,317
"Mar 22, 2021",72.37,318
"Mar 23, 2021",72.55,319
"Mar 24, 2021",72.59,320
"Mar 25, 2021",72.66,321
"Mar 26, 2021",72.61,322
"Mar 29, 2021",72.748,323
"Mar 30, 2021",73.44,324
"Mar 31, 2021",73.137,325
"Apr 01, 2021",73.323,326
"Apr 02, 2021",73.37,327
"Apr 05, 2021",73.294,328
"Apr 06, 2021",73.486,329
"Apr 07, 2021",74.352,330
"Apr 08, 2021",74.572,331
"Apr 09, 2021",74.722,332
"Apr 12, 2021",74.98,333
"Apr 13, 2021",75.26,334
"Apr 14, 2021",75.05,335
"Apr 15, 2021",74.72,336
"Apr 16, 2021",74.53,337
"Apr 19, 2021",74.85,338
"Apr 20, 2021",75.38,339
"Apr 21, 2021",75.421,340
"Apr 22, 2021",75.11,341
"Apr 23, 2021",74.92,342
"Apr 26, 2021",74.73,343
"Apr 27, 2021",74.58,344
"Apr 28, 2021",74.489,345
"Apr 29, 2021",74.09,346
"Apr 30, 2021",74.05,347
"May 03, 2021",73.81,348
"May 04, 2021",73.76,349
"May 05, 2021",73.8,350
"May 06, 2021",73.6,351
"May 07, 2021",73.252,352
"May 10, 2021",73.45,353
"May 11, 2021",73.37,354
"May 12, 2021",73.53,355
"May 13, 2021",73.47,356
"May 14, 2021",73.29,357
"May 17, 2021",73.33,358
"May 18, 2021",73.05,359
"May 19, 2021",73.21,360
"May 20, 2021",73.01,361
"May 21, 2021",72.817,362
"May 24, 2021",72.83,363
"May 25, 2021",72.79,364
"May 26, 2021",72.72,365
"May 27, 2021",72.7,366
"May 28, 2021",72.4,367
"May 31, 2021",72.511,368
"Jun 01, 2021",72.86,369
"Jun 02, 2021",72.95,370
"Jun 03, 2021",73.04,371
"Jun 04, 2021",72.86,372
"Jun 07, 2021",72.786,373
"Jun 08, 2021",72.95,374
"Jun 09, 2021",72.98,375
"Jun 10, 2021",73.07,376
"Jun 11, 2021",73.24,377
"Jun 14, 2021",73.18,378
"Jun 15, 2021",73.35,379
"Jun 16, 2021",73.27,380
"Jun 17, 2021",74.162,381
"Jun 18, 2021",74.1,382
"Jun 21, 2021",74.13,383
"Jun 22, 2021",74.33,384
"Jun 23, 2021",74.14,385
"Jun 24, 2021",74.18,386
"Jun 25, 2021",74.21,387
"Jun 28, 2021",74.27,388
"Jun 29, 2021",74.29,389
"Jun 30, 2021",74.36,390
"Jul 01, 2021",74.56,391
"Jul 02, 2021",74.512,392
"Jul 05, 2021",74.288,393
"Jul 06, 2021",74.582,394
"Jul 07, 2021",74.79,395
"Jul 08, 2021",74.73,396
"Jul 09, 2021",74.485,397
"Jul 12, 2021",74.53,398
"Jul 13, 2021",74.59,399
"Jul 14, 2021",74.46,400
"Jul 15, 2021",74.54,401
"Jul 16, 2021",74.606,402
"Jul 19, 2021",74.851,403
